"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"KAN-46","Epic","","Project Kick-Off and Initial Setup","To Do","","","","2024/01/01","2024/02/09","2024/02/09","purple"
"KAN-38","Task","KAN-46","Technical Infrastructure Activity: Setting Up Development Environment","To Do","","KAN Sprint 1","2024/01/01","2024/01/01","2024/01/05","2024/01/05","purple"
"KAN-39","Task","KAN-46","Technical Infrastructure Activity: Creating a Database schema for the application.","To Do","","KAN Sprint 1","2024/01/01","2024/01/01","2024/01/12","2024/01/12","purple"
"KAN-40","Task","KAN-46","Technical Infrastructure Activity: Integrate server configurations and a version control system.","To Do","","KAN Sprint 1","2024/01/08","2024/01/08","2024/01/12","2024/01/12","purple"
"KAN-25","Task","KAN-46","Technical Infrastructure Activity: Implement Continuous Integration/Continuous Deployment (CI/CD) pipelines","To Do","","KAN Sprint 2","2024/02/05","2024/02/05","2024/02/09","2024/02/09","purple"
"KAN-1","Epic","","User Authentication and Account Management","To Do","","","","2024/01/15","","2024/02/09","yellow"
"KAN-5","Story","KAN-1","As a user, I want to be able to register for a new account using my email and password","To Do","","KAN Sprint 1","2024/01/15","2024/01/15","2024/01/19","2024/01/19","purple"
"KAN-6","Story","KAN-1","As a user, I want to receive a confirmation email upon successful registration to verify my account","To Do","","KAN Sprint 1","2024/01/22","2024/01/22","2024/01/26","2024/01/26","purple"
"KAN-7","Story","KAN-1","As a user, I want to reset my password if I forget it","To Do","","KAN Sprint 2","2024/01/29","2024/01/29","2024/01/31","2024/01/31","purple"
"KAN-8","Story","KAN-1","As a user, I want to update my personal information (e.g., name, email, profile picture) in my account settings","To Do","","KAN Sprint 2","2024/02/01","2024/02/01","2024/02/02","2024/02/02","purple"
"KAN-9","Story","KAN-1","As a user, I want to link my social media accounts for easier login","To Do","","KAN Sprint 2","2024/02/05","2024/02/05","2024/02/09","2024/02/09","purple"
"KAN-2","Epic","","Product Search and Recommendations","To Do","","","","2024/01/15","","2024/03/22","orange"
"KAN-44","Task","KAN-2","Technical Infrastructure Activity: Learning about Elastic Search Engine","To Do","","KAN Sprint 1","2024/01/15","2024/01/15","2024/01/26","2024/01/26","purple"
"KAN-45","Task","KAN-2","Technical Infrastructure Activity: Integrating the ElasticSearch Engine in the development environment","To Do","","KAN Sprint 2","2024/01/29","2024/01/29","2024/02/09","2024/02/09","purple"
"KAN-10","Story","KAN-2","As a user, I want to search for products by keyword, category, and price range","To Do","","KAN Sprint 3","2024/02/12","2024/02/12","2024/02/23","2024/02/23","purple"
"KAN-12","Story","KAN-2","As a user, I want to filter search results by various criteria (e.g., customer ratings, brand, availability)","To Do","","KAN Sprint 3","2024/02/26","2024/02/26","2024/03/01","2024/03/01","purple"
"KAN-47","Task","KAN-2","Technical Infrastructure Activity: Learning about Recombee: Artificial Intelligence Powered Recommender as a Service","To Do","","KAN Sprint 3","2024/02/19","2024/02/19","2024/03/01","2024/03/01","purple"
"KAN-11","Story","KAN-2","As a user, I want to see personalized product recommendations based on my browsing and purchase history","To Do","","KAN Sprint 4","2024/03/04","2024/03/04","2024/03/15","2024/03/15","purple"
"KAN-13","Story","KAN-2","As a user, I want to receive real-time notifications for new products, promotions, and price drops","To Do","","KAN Sprint 4","2024/03/18","2024/03/18","2024/03/22","2024/03/22","purple"
"KAN-3","Epic","","Shopping Cart and Checkout","To Do","","","","2024/02/12","","2024/03/22","dark_green"
